,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2999,2/1/2013,2/28/2013,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,All Residential,-1,174950.0,-0.075561427,-0.028055556,219900.0,0.100050025,0.044040565,117.9391682,-0.018222073,-0.048352919,135.6707317,0.038513727,0.011252578,620.0,-0.190600522,0.02310231,196.0,-0.249042146,0.0,1137.0,-0.085277554,-0.226530612,6962.0,0.016498759,-0.106290116,11.2,2.3,-1.7,134.0,0.0,-21.0,0.94907477,-0.006339501,0.004509063,0.133870968,-0.000593784,0.018359417,,,,0.025510204,-0.024298225,-0.025510204,"Hartford, CT",25540,1/9/2022 14:29
3000,9/1/2021,9/30/2021,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,159.8460281,0.007639876,0.142143927,,,,,,,,,,,,,,,,,,,43.39969471,-1.0,-13.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3001,10/1/2020,10/31/2020,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Multi-Family (2-4 Unit),4,247000.0,0.07860262,0.276485788,245000.0,0.021258858,0.126954922,94.64578215,0.113026161,0.259999319,89.74066686,-0.06591738,0.098615688,138.0,0.326923077,0.408163265,110.0,-0.017857143,0.182795699,171.0,-0.080645161,0.526785714,403.0,0.046753247,0.135211268,2.9,-0.8,-0.7,46.0,-11.0,-10.0,1.024148656,0.036216966,0.03080591,0.586956522,0.12541806,0.117568767,0.161290323,-0.002346041,-0.018991368,0.2,-0.1125,-0.004301075,"Hartford, CT",25540,1/9/2022 14:29
3002,6/1/2015,6/30/2015,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Multi-Family (2-4 Unit),4,145000.0,-0.033333333,0.028368794,162950.0,-0.094219011,-0.029481834,57.05740621,0.092078755,0.144436735,66.63975239,0.031095491,0.009853205,80.0,0.454545455,0.176470588,57.0,-0.033898305,0.5,154.0,0.1,0.412844037,527.0,0.109473684,-0.109797297,6.6,-2.0,-2.1,47.0,-27.0,-54.0,0.961087772,-0.014121105,0.014729536,0.2375,-0.053409091,-0.027205882,0.003795066,-0.002520723,0.002105877,0.315789474,-0.023193577,0.263157895,"Hartford, CT",25540,1/9/2022 14:29
3003,8/1/2018,8/31/2018,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Condo/Co-op,3,155000.0,-0.018676796,0.033333333,169000.0,0.127418279,0.127418279,115.030817,-0.037280547,0.005249228,129.0081522,0.089758304,0.121514495,310.0,0.174242424,0.115107914,209.0,-0.075221239,-0.153846154,325.0,0.116838488,0.031746032,1051.0,-0.018674136,-0.056552962,3.4,-0.7,-0.6,65.0,-11.0,-25.0,0.966950474,0.002403482,0.002612451,0.164516129,0.054667644,0.035019726,0.22074215,-0.008949726,,0.181818182,0.049074819,0.011777696,"Hartford, CT",25540,1/9/2022 14:29
3004,6/1/2016,6/30/2016,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Multi-Family (2-4 Unit),4,155950.0,-0.037345679,0.075517241,154900.0,-0.088287228,-0.049401657,57.57044975,0.134267232,0.008991708,67.11442786,-0.005656633,0.007123008,72.0,0.043478261,-0.1,56.0,-0.125,-0.01754386,115.0,0.064814815,-0.253246753,406.0,-0.004901961,-0.229601518,5.6,-0.3,-1.0,56.0,-4.0,9.0,0.971548497,0.003869276,0.010460724,0.277777778,0.031400966,0.040277778,,,,0.410714286,0.066964286,0.094924812,"Hartford, CT",25540,1/9/2022 14:29
3005,3/1/2013,3/31/2013,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Single Family Residential,6,,,,,,,,,,,,,,,,,,,,,,5925.703595,-0.007875101,-0.103477749,,,,,,,,,,0.140157939,-0.015719929,0.030111892,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3006,12/1/2019,12/31/2019,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,All Residential,-1,218000.0,-0.009090909,0.038095238,199900.0,-0.090950432,0.080540541,126.6064118,-0.026104524,0.052534729,123.5525616,-0.077977967,0.013624715,1336.0,0.071371291,0.109634551,771.0,-0.135650224,0.119013062,733.0,-0.329981718,-0.017426273,4293.0,-0.170755264,-0.098866499,3.2,-1.0,-0.8,75.0,6.0,-2.0,0.972684975,-0.003574937,-0.001096483,0.22005988,-0.023725204,-0.005853741,0.156300955,-0.055984152,0.013563759,0.134889754,-0.001881547,0.0289391,"Hartford, CT",25540,1/9/2022 14:29
3007,12/1/2019,12/31/2019,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,248.6966591,0.03692822,0.148297074,,,,,,,772.2431921,-0.011458325,-0.19017704,,,,,,,,,,0.157362785,-0.036091999,-0.005791838,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3008,12/1/2017,12/31/2017,30,metro,-2,25540,f,"Hartford, CT metro area",,,CT,Condo/Co-op,3,144750.0,0.041366906,-0.005154639,144950.0,-0.057235772,0.108180428,109.7725907,-0.021044437,-0.051381862,117.1504755,0.032637204,0.003511793,244.0,0.104072398,0.0472103,149.0,0.273504274,0.201612903,138.0,-0.372727273,-0.014285714,833.0,-0.202870813,-0.156028369,3.4,-1.3,-0.8,92.0,7.0,-3.0,0.961186597,-0.005717787,0.0046223,0.12295082,-0.02184556,0.032822064,0.034813926,,,0.080536913,-0.056215224,-0.113011474,"Hartford, CT",25540,1/9/2022 14:29
