zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
85375,STANDARD,0,Sun City West,Sun City,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.67,-112.36,Phoenix,21850
85376,PO BOX,0,Sun City West,,,AZ,Maricopa County,America/Phoenix,,NA,US,33.66,-112.35,Phoenix,369
85377,PO BOX,0,Carefree,,,AZ,Maricopa County,America/Phoenix,,NA,US,33.82,-111.9,Phoenix,3602
85378,STANDARD,0,Surprise,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.63,-112.34,Phoenix,352
85379,STANDARD,0,Surprise,Sun City,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.6,-112.37,Phoenix,43120
85380,PO BOX,0,Peoria,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.68,-112.24,Phoenix,1336
85381,STANDARD,0,Peoria,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.61,-112.23,Phoenix,23290
85382,STANDARD,0,Peoria,,,AZ,Maricopa County,America/Phoenix,"928,623",NA,US,33.65,-112.24,Phoenix,37130
85383,STANDARD,0,Peoria,,,AZ,Maricopa County,America/Phoenix,928,NA,US,33.76,-112.24,Phoenix,62370
85385,PO BOX,0,Peoria,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.61,-112.23,Phoenix,802
85387,STANDARD,0,Surprise,"Sun City, Sun City West",,AZ,Maricopa County,America/Phoenix,623,NA,US,33.71,-112.4,Phoenix,12630
85388,STANDARD,0,Surprise,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.6,-112.43,Phoenix,27560
85390,STANDARD,0,Wickenburg,,,AZ,Maricopa County,America/Phoenix,928,NA,US,33.9,-112.9,Phoenix,5940
85392,STANDARD,0,Avondale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.47,-112.29,Phoenix,35140
85395,STANDARD,0,Goodyear,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.47,-112.39,Phoenix,28790
85396,STANDARD,0,Buckeye,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.53,-112.7,Phoenix,26670
85501,STANDARD,0,Globe,,,AZ,Gila County,America/Phoenix,"520,928",NA,US,33.62,-110.7,Phoenix,6880
