zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
22230,UNIQUE,0,Arlington,,National Science Foundation,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22234,UNIQUE,1,Arlington,Gannett,,VA,Arlington County,America/New_York,571,NA,US,38.89,-77.07,DC,0
22240,UNIQUE,0,Arlington,,Us Navy Accounting Office,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22241,UNIQUE,0,Arlington,,Naval Supply System Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22242,UNIQUE,0,Arlington,,Navy Sea Systems Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22243,UNIQUE,0,Arlington,,Naval Air System Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22244,UNIQUE,0,Arlington,,Assistant Secretary Of Navy,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22245,UNIQUE,0,Arlington,,Space & Naval Warfare System,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
22246,UNIQUE,0,Arlington,,Us Unmanned Aerial Vehicles,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,DC,0
23147,PO BOX,0,Ruthville,,,VA,Charles City,America/New_York,804,NA,US,37.36,-77.04,DC,209
20130,STANDARD,0,Paris,,,VA,Clarke County,America/New_York,,NA,US,39,-77.95,DC,260
20135,STANDARD,0,Bluemont,Mount Weather,,VA,Clarke County,America/New_York,703,NA,US,39.11,-77.83,DC,2520
22611,STANDARD,0,Berryville,Mount Weather,,VA,Clarke County,America/New_York,540,NA,US,39.14,-77.98,DC,8360
22620,STANDARD,0,Boyce,,,VA,Clarke County,America/New_York,540,NA,US,39.09,-78.05,DC,2130
22646,PO BOX,0,Millwood,,,VA,Clarke County,America/New_York,540,NA,US,39.06,-78.03,DC,408
20106,STANDARD,0,Amissville,Viewtown,,VA,Culpeper County,America/New_York,,NA,US,38.67,-77.99,DC,4640
22701,STANDARD,0,Culpeper,"Raccoon Ford, Winston",Catalpa,VA,Culpeper County,America/New_York,540,NA,US,38.47,-78,DC,33370
22713,STANDARD,0,Boston,,,VA,Culpeper County,America/New_York,540,NA,US,38.54,-78.14,DC,1310
22714,STANDARD,0,Brandy Station,Brandy Sta,Brandy,VA,Culpeper County,America/New_York,540,NA,US,38.52,-77.89,DC,970
22718,STANDARD,0,Elkwood,,,VA,Culpeper County,America/New_York,540,NA,US,38.51,-77.85,DC,660
22724,STANDARD,0,Jeffersonton,,,VA,Culpeper County,America/New_York,540,NA,US,38.63,-77.91,DC,2310
22726,STANDARD,0,Lignum,,,VA,Culpeper County,America/New_York,540,NA,US,38.41,-77.82,DC,740
22729,STANDARD,0,Mitchells,,,VA,Culpeper County,America/New_York,540,NA,US,38.37,-78,DC,172
22733,STANDARD,0,Rapidan,,,VA,Culpeper County,America/New_York,540,NA,US,38.31,-78.06,DC,1200
22735,STANDARD,0,Reva,,,VA,Culpeper County,America/New_York,540,NA,US,38.49,-78.13,DC,1980
22736,STANDARD,0,Richardsville,,,VA,Culpeper County,America/New_York,540,NA,US,38.4,-77.72,DC,570
22737,STANDARD,0,Rixeyville,,,VA,Culpeper County,America/New_York,540,NA,US,38.58,-77.97,DC,3130
22741,STANDARD,0,Stevensburg,,,VA,Culpeper County,America/New_York,540,NA,US,38.43,-77.87,DC,200
22034,STANDARD,0,Fairfax,,Journal Newspaper,VA,Fairfax City,America/New_York,571,NA,US,38.85,-77.29,DC,0
22036,STANDARD,0,Fairfax,,Journal Newspaper,VA,Fairfax City,America/New_York,"571,703",NA,US,38.85,-77.29,DC,0
22037,UNIQUE,0,Fairfax,,Mobil Oil Corp,VA,Fairfax City,America/New_York,571,NA,US,38.85,-77.29,DC,67
22038,PO BOX,0,Fairfax,,,VA,Fairfax City,America/New_York,571,NA,US,38.85,-77.29,DC,415
20120,STANDARD,0,Centreville,Sully Station,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.84,-77.44,DC,40450
20121,STANDARD,0,Centreville,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.81,-77.46,DC,26750
20122,PO BOX,0,Centreville,,,VA,Fairfax County,America/New_York,571,NA,US,38.84,-77.44,DC,621
20124,STANDARD,0,Clifton,,,VA,Fairfax County,America/New_York,571,NA,US,38.77,-77.38,DC,15080
20151,STANDARD,0,Chantilly,Fairfax,,VA,Fairfax County,America/New_York,571,NA,US,38.9,-77.45,DC,21880
20153,PO BOX,0,Chantilly,Fairfax,,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.4,DC,632
20170,STANDARD,0,Herndon,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.96,-77.38,DC,40620
20171,STANDARD,0,Herndon,Oak Hill,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.92,-77.4,DC,49720
20172,PO BOX,0,Herndon,,,VA,Fairfax County,America/New_York,571,NA,US,38.96,-77.38,DC,769
20190,STANDARD,0,Reston,Herndon,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.95,-77.34,DC,17820
20191,STANDARD,0,Reston,Herndon,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.93,-77.35,DC,27670
20192,UNIQUE,0,Herndon,Reston,"Hundon, Us Geological Survey",VA,Fairfax County,America/New_York,571,NA,US,38.96,-77.38,DC,0
20193,UNIQUE,1,Reston,"Herndon, Hundon, Sallie Mae",,VA,Fairfax County,America/New_York,571,NA,US,38.93,-77.34,DC,0
20201,UNIQUE,0,Washington,,Dept Hlth Human Serv,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20202,UNIQUE,0,Washington,,Dept Education,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.02,DC,0
20203,UNIQUE,0,Washington,,Social Securtiy Admin,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20204,UNIQUE,0,Washington,,Food And Drug Admin,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.01,DC,0
20206,UNIQUE,0,Washington,,Soc Sec Bureau Hearing App,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20207,UNIQUE,0,Washington,,Consumer Product Safety Comm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20208,UNIQUE,0,Washington,,Natl Institute Of Educ,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20210,UNIQUE,0,Washington,,Dept Of Labor,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20211,UNIQUE,0,Washington,,Office Of Workers Comp,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20212,UNIQUE,0,Washington,,Dept Labor Stats,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20213,UNIQUE,0,Washington,,Dept Labor Manpower Admn,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20214,UNIQUE,0,Washington,,Bureau Labor Statistics,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20215,UNIQUE,0,Washington,,Dept Labor Payroll Audit Div,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20216,UNIQUE,0,Washington,,Labor Management Admin,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20217,UNIQUE,0,Washington,,Us Tax Court,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20218,UNIQUE,0,Washington,,Natl Comm On Social Sec,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20219,UNIQUE,0,Washington,,Comptroller Of Currency,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20220,UNIQUE,0,Washington,,Dept Treasury,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20221,UNIQUE,0,Washington,,District Director Irs,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20222,UNIQUE,0,Washington,,Us Treasurer,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20223,UNIQUE,0,Washington,,Us Secret Service,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20224,UNIQUE,0,Washington,,Internal Revenue Service,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
