zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
55323,PO BOX,0,Crystal Bay,,Orono,MN,Hennepin County,America/Chicago,952,NA,US,44.97,-93.59,Minneapolis,63
55327,STANDARD,0,Dayton,,"Hassan, Otsego",MN,Hennepin County,America/Chicago,,NA,US,45.18,-93.47,Minneapolis,4630
55328,STANDARD,0,Delano,,Independence,MN,Wright County,America/Chicago,763,NA,US,45.04,-93.78,Minneapolis,9530
55330,STANDARD,0,Elk River,"Burns Township, Burns Twp, Nowthen, Otsego",Ramsey,MN,Sherburne County,America/Chicago,,NA,US,45.33,-93.56,Minneapolis,41120
55331,STANDARD,0,Excelsior,"Greenwood, Minnetrista, Shorewood","Deephaven, Orono, Tonka Bay",MN,Hennepin County,America/Chicago,,NA,US,44.9,-93.56,Minneapolis,19100
55337,STANDARD,0,Burnsville,,,MN,Dakota County,America/Chicago,952,NA,US,44.76,-93.27,Minneapolis,43910
55339,STANDARD,0,Hamburg,,,MN,Carver County,America/Chicago,952,NA,US,44.73,-93.96,Minneapolis,970
55340,STANDARD,0,Hamel,"Corcoran, Medina",,MN,Hennepin County,America/Chicago,763,NA,US,45.07,-93.58,Minneapolis,8760
55341,STANDARD,0,Hanover,Saint Michael,,MN,Wright County,America/Chicago,,NA,US,45.15,-93.65,Minneapolis,3480
55343,STANDARD,0,Hopkins,"Eden Prairie, Minetonka Mls, Minnetnka Mls, Minnetonka, Minnetonka Mills",,MN,Hennepin County,America/Chicago,############,NA,US,44.92,-93.4,Minneapolis,23790
55344,STANDARD,0,Eden Prairie,,,MN,Hennepin County,America/Chicago,952,NA,US,44.86,-93.43,Minneapolis,14390
55345,STANDARD,0,Minnetonka,Hopkins,,MN,Hennepin County,America/Chicago,"612,651,763",NA,US,44.93,-93.46,Minneapolis,21620
55346,STANDARD,0,Eden Prairie,,,MN,Hennepin County,America/Chicago,952,NA,US,44.88,-93.48,Minneapolis,17190
55347,STANDARD,0,Eden Prairie,,,MN,Hennepin County,America/Chicago,952,NA,US,44.84,-93.45,Minneapolis,31260
55348,PO BOX,1,Maple Plain,,,MN,Hennepin County,America/Chicago,952,NA,US,45,-93.66,Minneapolis,0
